review_id,sentence_id,text,status,Food,Staff / service,Price / value,Wait times,Atmosphere / facilities,Business operations,Recommendations / loyalty,Overall experience
1,1,Absolutely best poutine i've ever heard in my life and they definitely didn't hold out on portion sizes.,candidate matches,1,1,0,0,0,1,1,0
1,2,"I got the large poutine and they loaded it up to the brim, enough to eat for 2-3 meals myself.",candidate matches,1,1,0,0,0,1,1,0
1,3,"The gravy and cheese wasn't my favorite as they didn't have enough meat flavor in the gravy and the cheese wasn't melted but the chicken, fries, sausage was definitely the highlight to this poutine.",candidate matches,1,1,0,0,0,1,1,0
1,4,The chicken was tender and juicy and was definitely different to all the poutines i've ever heard before.,candidate matches,1,1,0,0,0,1,1,0
1,5,The staff tries their best to get through the line but it's worth the wait!,candidate matches,0,1,0,1,0,0,0,0
1,6,I had to wait for 15 minutes in the afternoon but I left very satisfied with the food.,candidate matches,1,1,1,0,1,1,0,0
2,1,"This was another poutine recommendation from Eater, and the tour guide from our food and walking tour corroborated that.",candidate matches,1,1,0,0,0,1,1,0
2,2,"When we showed up and saw the line around the corner, we figured that it must be good.",candidate matches,0,0,0,1,0,0,0,0
2,3,"We waited in line for about 30-40 minutes, but it was a nice evening.",candidate matches,0,0,0,1,1,0,0,0
2,4,"(I assume that waiting in that line in the dead of winter would not be fun.) You can order to takeaway, but they have seating indoors.",candidate matches,0,0,0,0,1,1,0,0
2,5,We opted to eat there because poutine is better fresh.,candidate matches,1,1,0,0,0,1,1,0
2,6,"I read that the petit was still quite large, so we opted to split the petit.",unclassified,0,0,0,0,0,0,0,0
2,7,We both agreed that was a smart decision.,unclassified,0,0,0,0,0,0,0,0
2,8,"The poutine was good, but the flavor of the cheese curds was muted by the shredded chicken and choriço.",candidate matches,1,1,0,0,0,1,1,0
2,9,"Their signature dish is their Portuguese chicken, and so I'm curious how that tastes when it's not covered in poutine gravy and cheese curds.",candidate matches,1,1,0,0,0,1,1,0
3,1,"I'm a huge fan of Somebody Feed Phil, and after watching Phil's Montreal episode, I knew I had to make a stop at Ma Poule Mouillée.",candidate matches,0,0,0,1,0,0,1,0
3,2,It ended up being one of the best meals of my trip.,candidate matches,1,0,1,0,1,1,0,0
3,3,"When I arrived, there was a short line, and as soon as I walked inside, the incredible aroma of rotisserie chicken filled the room.",candidate matches,1,1,0,0,0,0,1,0
3,4,That's when I knew I was in for something special.,unclassified,0,0,0,0,0,0,0,0
3,5,"I was told to order the wet hot chicken plate, so I did--and it absolutely did not disappoint.",candidate matches,1,0,0,0,0,0,0,0
3,6,I also couldn't resist trying the famous chicken poutine.,candidate matches,1,1,1,0,0,1,1,0
3,7,"The flavors were bold, rich, and incredibly satisfying.",candidate matches,1,0,0,0,0,0,0,0
3,8,"The portions were enormous, too; there was easily enough food for several meals.",candidate matches,1,1,1,0,1,0,0,0
3,9,"Before leaving, I picked up a small homemade tres leches tart for dessert.",candidate matches,1,0,0,0,0,0,0,0
3,10,It was the perfect ending to the meal.,candidate matches,1,0,1,0,1,0,0,0
3,11,"The cake was moist and delicious, and the caramelized burnt sugar on top added an amazing flavor and texture.",candidate matches,1,0,0,0,0,0,0,0
3,12,I honestly wish Ma Poule Mouillée had a location in Detroit because this would become my monthly dinner spot without question.,candidate matches,0,0,0,1,0,0,1,0
3,13,"This place is the definition of ""winner, winner, chicken dinner."" If you're visiting Montreal, don't miss it--you'll leave full, happy, and already thinking about your next visit.",candidate matches,0,0,0,0,0,0,1,1
4,1,This has been a favorite Montreal spot of mine for over a decade.,candidate matches,0,0,0,0,0,0,1,1
4,2,"The last time I was in Montreal, these guys had fire and I was afraid they wouldn't reopen.",candidate matches,0,0,0,0,0,0,0,1
4,3,I'm so glad they did and still just as good as always.,unclassified,0,0,0,0,0,0,0,0
