Row Number,Text,Semantic,Associated Words
1,Absolutely best poutine i've ever heard in my life and they definitely didn't hold out on portion sizes.,Positive,best
2,"I got the large poutine and they loaded it up to the brim, enough to eat for 2-3 meals myself.",Neutral,
3,"The gravy and cheese wasn't my favorite as they didn't have enough meat flavor in the gravy and the cheese wasn't melted but the chicken, fries, sausage was definitely the highlight to this poutine.",Neutral,
4,The chicken was tender and juicy and was definitely different to all the poutines i've ever heard before.,Positive,"tender, juicy"
5,The staff tries their best to get through the line but it's worth the wait!,Positive,"best, worth the wait"
6,I had to wait for 15 minutes in the afternoon but I left very satisfied with the food.,Positive,satisfied
7,"This was another poutine recommendation from Eater, and the tour guide from our food and walking tour corroborated that.",Neutral,
8,"When we showed up and saw the line around the corner, we figured that it must be good.",Positive,good
9,"We waited in line for about 30-40 minutes, but it was a nice evening.",Positive,nice
10,"(I assume that waiting in that line in the dead of winter would not be fun.) You can order to takeaway, but they have seating indoors.",Neutral,
11,We opted to eat there because poutine is better fresh.,Positive,fresh
12,"I read that the petit was still quite large, so we opted to split the petit.",Neutral,
13,We both agreed that was a smart decision.,Neutral,
14,"The poutine was good, but the flavor of the cheese curds was muted by the shredded chicken and choriço.",Positive,good
15,"Their signature dish is their Portuguese chicken, and so I'm curious how that tastes when it's not covered in poutine gravy and cheese curds.",Neutral,
16,"I'm a huge fan of Somebody Feed Phil, and after watching Phil's Montreal episode, I knew I had to make a stop at Ma Poule Mouillée.",Positive,huge
17,It ended up being one of the best meals of my trip.,Positive,best
18,"When I arrived, there was a short line, and as soon as I walked inside, the incredible aroma of rotisserie chicken filled the room.",Positive,incredible
19,That's when I knew I was in for something special.,Neutral,
20,"I was told to order the wet hot chicken plate, so I did--and it absolutely did not disappoint.",Positive,did not disappoint
21,I also couldn't resist trying the famous chicken poutine.,Neutral,
22,"The flavors were bold, rich, and incredibly satisfying.",Positive,"bold, rich"
23,"The portions were enormous, too; there was easily enough food for several meals.",Positive,enormous
24,"Before leaving, I picked up a small homemade tres leches tart for dessert.",Neutral,
25,It was the perfect ending to the meal.,Positive,perfect
26,"The cake was moist and delicious, and the caramelized burnt sugar on top added an amazing flavor and texture.",Positive,"moist, delicious, amazing"
27,I honestly wish Ma Poule Mouillée had a location in Detroit because this would become my monthly dinner spot without question.,Neutral,
28,"This place is the definition of ""winner, winner, chicken dinner."" If you're visiting Montreal, don't miss it--you'll leave full, happy, and already thinking about your next visit.",Positive,happy
29,This has been a favorite Montreal spot of mine for over a decade.,Positive,favorite
30,"The last time I was in Montreal, these guys had fire and I was afraid they wouldn't reopen.",Neutral,
31,I'm so glad they did and still just as good as always.,Positive,good
32,"We ordered the chicken legs, the poutine, and pastel de nata.",Neutral,
33,The ordering can be a bit confusing as it's not clear what line is which.,Negative,"confusing, not clear"
34,So the move is your line up and order by the cooks in front then move to the back to pay at the cashier.,Neutral,
35,The portions are large and even the small poutine can feed a family.,Positive,feed a family
36,I lived the spicy chicken and pastel de nata.,Neutral,
37,The poutine was good but didn't need the sausage.,Positive,good
38,Overall very happy we revisited and that they're still amazing.,Positive,"very happy, amazing"
39,I could not decide what to eat for lunch on this rainy Sunday and I don't have any local currency.,Neutral,
40,I'm on a credit only trip (just because I'm too lazy to deal with it) so that leaves Schwartz's out of the picture.,Neutral,
41,I randomly came across this chicken palace and am so happy I did.,Positive,happy
42,"If you enjoy rotisserie chicken, Portuguese chicken is your jam.",Neutral,
43,This dude up front is a grilling machine and it's all charcoal.,Neutral,
44,I got the half chicken with French fries and salad.,Neutral,
45,It's a lot of food for under $12 US.,Neutral,
46,"I, of course, opted for spicy with extra hot sauce on the side.",Neutral,
47,That stuff isn't very spicy but so very delicious.,Positive,delicious
48,The chicken was moist and flavorful and the hot sauce was perfect with it.,Positive,"moist, flavorful, perfect"
49,The heaping pile of fries was a bit overkill.,Neutral,
50,There were a lot of Asians in there so you know it's a good deal.,Positive,good
51,I'm Asian myself so I would know.,Neutral,
52,"The chicken is tender, it's better with the spicy sauce.",Positive,tender
53,The portion is huge and you can definitely share with two people.,Positive,huge
54,"It's very popular but I found the overall flavor is okay, not a complete wow.",Neutral,
55,But the dessert was great!,Positive,great
56,We visited this place because we just had to try poutine and heard it was fabulous here.,Positive,fabulous
57,"That is true, and you'll be sure after 1st bite..",Neutral,
58,"Great fries, with chorizo + bits of chicken, good amount of cheese curds and finally smothered w/gravy.",Positive,good
59,"I thought the gravy might be an afterthought/not interesting- but no, it was delicious.",Negative,
60,You walk in the door and all you smell is chicken grilling+ chargrilled goodness.,Neutral,
61,They offer a1/2chicken w/salad+ fries.,Neutral,
62,Since we were ordering the poutine we didn't want those extra sides; we just ordered whole chicken.,Neutral,
63,"They'll ask, spicy or not?",Neutral,
64,We got 'spicy' -basically the orange sauce in pics.,Neutral,
65,"It's not at all 'spicy hot' -but tastes garlicky, rich and delicious.",Positive,"rich, delicious"
66,Great choice.,Positive,Great
67,"Chicken is Portuguese style; with a chargrilled taste, very juicy and well seasoned.",Positive,juicy
68,"Talked to several people who were near us eating about how great the food was, and found out that like us, several of them were out of towners who'd asked a local ""where to eat"" in town.",Positive,great
69,Every single person was raving about how delicious it all was.,Positive,delicious
70,This place is the Bomb!,Neutral,
71,Absolutely a 'Do Not miss' in Montreal.,Neutral,
72,The small poutine we ordered was huge!,Positive,huge
73,And the large sized poutine others bought was size of a ham on the large plate.,Neutral,
74,"Even with 2 hungry people and my Hubbie is a big dude, we brought almost 1/2 of our food home to finish the next day.",Neutral,
